type,posts
ESTJ,"So, most other forums has one like this, but I couldn't find one here.

(think we'll need one regarding all the stereotypes here...)
So guys (and girls), just go on and shoot any questions you'd like!
(other ESTJs are welcome to answer as well of course, but I guess you don't need an invitation for that..)"
ESTJ,"Hmm, hard one (haven't thoutht that much about it since I'm 17..) but I'll try.
I think I'll take a few strong and obvious rules, a lot of freedom, surrounded by a lot of love all the time. *note to self: not being too protective*
Does that count as a rule? It was kinda three..."
ESTJ,"Oh, I love my Ne! It makes me able to see almost everything from different angles (or forces me to draw connections and think of poasibilities that doesn't exist when I'm down). It's also the fun part of me, allowing me to be more spontanious and abstract. It allows me to see the big and often abstract picture of things, and then narrow it down to the more focused view of Si, making it possible to work with. Also taking the narrow view of Si, making it bigger and more all-covering. Most important thing I can think of now is to see things from different angles.
Ne is one of the functions I enjoy the most, and I'd like it to be stronger."
ESTJ,"1. Depends. As it is now, I usually see the logic behind it. If I can't see the logic, of if I'm mentaly down, I take it a lot more serious. My Ne kicks in and I imagine every possible reason to why they would be ignoring me. To solve the problem, I'd talk to them, ask why they ignored me, etc.

2. If it's suppoused to be realistic, I hate it. I'll comment on it, and then I'll leave it there and continue to whach the movie.

3. Hmm. I play League of Legends. Just when I have someone to play with, I find it very boring to play alone. I'm here quite a bit, enjoy reading fantasy books a lot, watching videos of different fighting styles and military strategies, etc."
ESTJ,"1. I can agree on them. If I can decide for myself what ""guardian"" would stand for, I'd love it. Now, guardian has the vibe of guarding old traditions and customs, the law, the goverment, etc. I do not think this is the case. On the other hand, if it would stand for guarding the rights of people, freedom of opinion etc, then I'll agree. Supervisor is okey I guess. As long as you don't put too much weight in any of them.

"
ESTJ,"I believe that everyone has the same worth, but again I'm a subjective human being, and therefore value people different. So rather than saying that I judge the worth of people, I'd say I judge their worth to me, and what they can contribute with to me and to the society. If they don't do what they're assigned on time, that would decrease this. If they hinder the progression of things by being plain stupid, things like that. But still, it doesn't decrease their actual worth or value, just how I view them.

Something I'd consider a great act of kindness would be something you do for another person for the reason of helping them in some way, and not expecting something in return, even in form of recognition for what they've done."
ESTJ,"@Dumaresq,

I think that the monetary worth of someone would be their current capital added with a scalar multiplied by their potential capital in the future. However, a person's worth to me is completely subjective, and thus a general consensus would be difficult to achieve. I personally think that people are invaluable in a personal sense, replaceable in an industrial sense, and in comparison to others, equal. I sometimes have difficulty empathizing with those who have lost a loved one, because 1) ESTJs just aren't very empathetic, and 2) Many people die every day. It's a fact of life. Move on, even if it's hard.

I consider a great act of kindness to be one in which the one who acted served another without an expectation or recognition, praise, thanks, or something in return. Secondly, but perhaps more significantly, spending time with someone. We all have a truly very limited time here on Earth, and when someone is willing to spend a lot of it with you, even in your down times, then that person has shown you great kindness."
ESTJ,"1. I don't have a particular interest in watching sports or e-sports. I'm rather indifferent about the subject, except when it comes to the SF Giants. Strongly dislike them.

3. I have no opinion about fanatic fans. If that's your passion, go for it. Just don't get violent or destroy property that's not your own.


4. I'd like to be involved in Phase 1 (making the idea) and in control of Phase 2. I like helping conceive plans, but I especially love bringing them into reality. Phase 2 is an area where I get to be both innovative and analytical at the same time; it's pretty much the perfect yin-yang I like in a job.

Phase three (the physical labour) would interest me on a knowledge level, but not a practical one. I'd like to know the general process of cabinet making, but I don't want to make the cabinets."
ESTJ,"I think it's pretty even, can't really say that either bad or good memories dominates. The sense that dominates is sight, clearly. Also impressions, what I thought about things, how I felt about them, etc."
ESTJ,"Hanging out with friends, playing league of legends, reading, training, listening to music, watching youtube videos about ancient military strategies. Oh, and I just started making a viking shield."
ESTJ,I had a coronary just reading that.
ESTJ,"@Epicyclic

I hate the fourth phase. Maintenance of anything is mental death for me."
ESTJ,"@Dumaresq - We hate it, but if we have to, we will do it. Not unlike some other types who just can't bear to do it or think it too mundane for them to bother.

So we try to manage the system such that maintanence issues like these are kept to a minimum."
ESTJ,"

If you put me in position where I just had to maintain something, it wouldn't get done unless my continued existence depended on it.

So I dunno about you, but check me off for the ""can't bear to do it"" box."
